Time,Aggregate
10/11/2013 00:00:00,179
10/11/2013 00:00:00,179
10/11/2013 00:00:00,179
10/11/2013 00:00:00,178
10/11/2013 00:00:00,178
10/11/2013 00:00:00,177
10/11/2013 00:00:00,177
10/11/2013 00:01:00,179
10/11/2013 00:01:00,179
10/11/2013 00:01:00,179
10/11/2013 00:01:00,179
10/11/2013 00:01:00,179
10/11/2013 00:01:00,178
10/11/2013 00:01:00,178
10/11/2013 00:01:00,177
10/11/2013 00:01:00,177
10/11/2013 00:01:00,177
10/11/2013 00:02:00,180
10/11/2013 00:02:00,179
10/11/2013 00:02:00,179
10/11/2013 00:02:00,178
10/11/2013 00:02:00,178
10/11/2013 00:02:00,178
10/11/2013 00:02:00,177
10/11/2013 00:02:00,177
10/11/2013 00:03:00,208
10/11/2013 00:03:00,208
10/11/2013 00:03:00,208
10/11/2013 00:03:00,208
10/11/2013 00:03:00,180
10/11/2013 00:03:00,180
10/11/2013 00:03:00,180
10/11/2013 00:03:00,179
10/11/2013 00:03:00,179
10/11/2013 00:04:00,209
10/11/2013 00:04:00,208
10/11/2013 00:04:00,208
10/11/2013 00:04:00,208
10/11/2013 00:04:00,206
10/11/2013 00:04:00,206
10/11/2013 00:04:00,206
10/11/2013 00:04:00,206
10/11/2013 00:05:00,202
10/11/2013 00:05:00,202
10/11/2013 00:05:00,202
10/11/2013 00:05:00,201
10/11/2013 00:05:00,201
10/11/2013 00:05:00,201
10/11/2013 00:05:00,201
10/11/2013 00:05:00,201
10/11/2013 00:05:00,201
10/11/2013 00:05:00,201
10/11/2013 00:05:00,201
10/11/2013 00:06:00,202
10/11/2013 00:06:00,202
10/11/2013 00:06:00,201
10/11/2013 00:06:00,201
10/11/2013 00:06:00,201
10/11/2013 00:06:00,201
10/11/2013 00:06:00,201
10/11/2013 00:06:00,201
10/11/2013 00:06:00,201
10/11/2013 00:06:00,200
10/11/2013 00:07:00,202
10/11/2013 00:07:00,202
10/11/2013 00:07:00,202
10/11/2013 00:07:00,202
10/11/2013 00:07:00,201
10/11/2013 00:07:00,201
10/11/2013 00:07:00,200
10/11/2013 00:07:00,200
10/11/2013 00:08:00,201
10/11/2013 00:08:00,201
10/11/2013 00:08:00,201
10/11/2013 00:08:00,201
10/11/2013 00:08:00,201
10/11/2013 00:08:00,200
10/11/2013 00:08:00,200
10/11/2013 00:08:00,200
10/11/2013 00:08:00,200
10/11/2013 00:09:00,246
10/11/2013 00:09:00,246
10/11/2013 00:09:00,239
10/11/2013 00:09:00,239
10/11/2013 00:09:00,239
10/11/2013 00:09:00,239
10/11/2013 00:09:00,200
10/11/2013 00:09:00,200
10/11/2013 00:09:00,200
10/11/2013 00:10:00,242
10/11/2013 00:10:00,240
10/11/2013 00:10:00,239
10/11/2013 00:10:00,238
10/11/2013 00:10:00,238
10/11/2013 00:10:00,238
10/11/2013 00:10:00,236
10/11/2013 00:10:00,236
10/11/2013 00:10:00,236
10/11/2013 00:11:00,239
10/11/2013 00:11:00,239
10/11/2013 00:11:00,236
