Time,Aggregate,Day,Month
25/09/2013 19:20,335,25,9
25/09/2013 19:25,324.6666667,25,9
25/09/2013 19:30,325.5555556,25,9
25/09/2013 19:35,326.4285714,25,9
25/09/2013 19:40,448.02,25,9
25/09/2013 19:45,486,25,9
25/09/2013 19:50,544.7346939,25,9
25/09/2013 19:55,468.8958333,25,9
25/09/2013 20:00,437.4693878,25,9
25/09/2013 20:05,399.7959184,25,9
25/09/2013 20:10,440.5918367,25,9
25/09/2013 20:15,474.8,25,9
25/09/2013 20:20,471.755102,25,9
25/09/2013 20:25,423.6326531,25,9
25/09/2013 20:30,367.3125,25,9
25/09/2013 20:35,368.98,25,9
25/09/2013 20:40,369.4693878,25,9
25/09/2013 20:45,456.7755102,25,9
25/09/2013 20:50,410.6122449,25,9
25/09/2013 20:55,386.6530612,25,9
25/09/2013 21:00,580.244898,25,9
25/09/2013 21:05,593.98,25,9
25/09/2013 21:10,435.22,25,9
25/09/2013 21:15,411.7,25,9
25/09/2013 21:20,522.5306122,25,9
25/09/2013 21:25,458.24,25,9
25/09/2013 21:30,469.3673469,25,9
25/09/2013 21:35,538.9387755,25,9
25/09/2013 21:40,561,25,9
25/09/2013 21:45,575.5,25,9
25/09/2013 21:50,475.625,25,9
25/09/2013 21:55,477.4081633,25,9
25/09/2013 22:00,469.25,25,9
25/09/2013 22:05,447.375,25,9
25/09/2013 22:10,370.9583333,25,9
25/09/2013 22:15,301.0416667,25,9
25/09/2013 22:20,254.1428571,25,9
25/09/2013 22:25,197.3265306,25,9
25/09/2013 22:30,194.122449,25,9
25/09/2013 22:35,171.6875,25,9
25/09/2013 22:40,152.4897959,25,9
25/09/2013 22:45,152.5510204,25,9
25/09/2013 22:50,176.5833333,25,9
25/09/2013 22:55,290.5208333,25,9
25/09/2013 23:00,298.7142857,25,9
25/09/2013 23:05,279.6122449,25,9
25/09/2013 23:10,152.3125,25,9
25/09/2013 23:15,152.8333333,25,9
25/09/2013 23:20,152.7142857,25,9
25/09/2013 23:25,170.2040816,25,9
25/09/2013 23:30,247.3673469,25,9
25/09/2013 23:35,474.5510204,25,9
25/09/2013 23:40,470.76,25,9
25/09/2013 23:45,428.6458333,25,9
25/09/2013 23:50,395.4166667,25,9
25/09/2013 23:55,324.04,25,9
26/09/2013 00:00,274.2653061,26,9
26/09/2013 00:05,316.755102,26,9
26/09/2013 00:10,308.86,26,9
26/09/2013 00:15,231.5102041,26,9
26/09/2013 00:20,330.5510204,26,9
26/09/2013 00:25,318.4680851,26,9
26/09/2013 00:30,342.86,26,9
26/09/2013 00:35,310.9375,26,9
26/09/2013 00:40,292.2653061,26,9
26/09/2013 00:45,244.7391304,26,9
26/09/2013 00:50,206.4897959,26,9
26/09/2013 00:55,205.5416667,26,9
26/09/2013 01:00,222.44,26,9
26/09/2013 01:05,292.0416667,26,9
26/09/2013 01:10,296.26,26,9
26/09/2013 01:15,264.9166667,26,9
26/09/2013 01:20,152.5,26,9
26/09/2013 01:25,152.6,26,9
26/09/2013 01:30,152.8958333,26,9
26/09/2013 01:35,179.4693878,26,9
26/09/2013 01:40,196.38,26,9
26/09/2013 01:45,292.5918367,26,9
26/09/2013 01:50,247.1632653,26,9
26/09/2013 01:55,197.122449,26,9
26/09/2013 02:00,161.14,26,9
26/09/2013 02:05,184.5208333,26,9
26/09/2013 02:10,279.24,26,9
26/09/2013 02:15,292.244898,26,9
26/09/2013 02:20,281.3541667,26,9
26/09/2013 02:25,278.4583333,26,9
26/09/2013 02:30,307.4285714,26,9
26/09/2013 02:35,303.7959184,26,9
26/09/2013 02:40,259,26,9
26/09/2013 02:45,195.8125,26,9
26/09/2013 02:50,192.0208333,26,9
26/09/2013 02:55,167.8571429,26,9
26/09/2013 03:00,155.5102041,26,9
26/09/2013 03:05,164.7346939,26,9
26/09/2013 03:10,203.72,26,9
26/09/2013 03:15,286.875,26,9
26/09/2013 03:20,298.46,26,9
26/09/2013 03:25,188.7142857,26,9
26/09/2013 03:30,152.6938776,26,9
26/09/2013 03:35,152.5416667,26,9
26/09/2013 03:40,152.6041667,26,9
26/09/2013 03:45,167.2040816,26,9
26/09/2013 03:50,300.72,26,9
26/09/2013 03:55,403.8,26,9
26/09/2013 04:00,352.4042553,26,9
26/09/2013 04:05,255.875,26,9
26/09/2013 04:10,205.5416667,26,9
26/09/2013 04:15,203.44,26,9
26/09/2013 04:20,272.7916667,26,9
26/09/2013 04:25,283.8958333,26,9
26/09/2013 04:30,213,26,9
26/09/2013 04:35,206.2978723,26,9
26/09/2013 04:40,200.26,26,9
26/09/2013 04:45,195.0204082,26,9
26/09/2013 04:50,165.56,26,9
26/09/2013 04:55,197.9787234,26,9
26/09/2013 05:00,195.46,26,9
26/09/2013 05:05,167.75,26,9
26/09/2013 05:10,153.2291667,26,9
26/09/2013 05:15,200.2244898,26,9
26/09/2013 05:20,201.54,26,9
26/09/2013 05:25,295.84,26,9
26/09/2013 05:30,223.36,26,9
26/09/2013 05:35,187.52,26,9
26/09/2013 05:40,173.6326531,26,9
26/09/2013 05:45,201.8125,26,9
26/09/2013 05:50,207.0833333,26,9
26/09/2013 05:55,282.92,26,9
26/09/2013 06:00,451.1428571,26,9
26/09/2013 06:05,1681.857143,26,9
26/09/2013 06:10,676.3877551,26,9
26/09/2013 06:15,459.34,26,9
26/09/2013 06:20,444.1836735,26,9
26/09/2013 06:25,605.34,26,9
26/09/2013 06:30,796.2040816,26,9
26/09/2013 06:35,410.28,26,9
26/09/2013 06:40,446.46,26,9
26/09/2013 06:45,349.32,26,9
26/09/2013 06:50,394.54,26,9
26/09/2013 06:55,436.18,26,9
26/09/2013 07:00,436.08,26,9
26/09/2013 07:05,456.94,26,9
26/09/2013 07:10,436.34,26,9
26/09/2013 07:15,359.38,26,9
26/09/2013 07:20,165.8333333,26,9
26/09/2013 07:25,125.877551,26,9
26/09/2013 07:30,136.1702128,26,9
26/09/2013 07:35,176.72,26,9
26/09/2013 07:40,140.3,26,9
26/09/2013 07:45,479.1836735,26,9
26/09/2013 07:50,301.16,26,9
26/09/2013 07:55,273.6326531,26,9
26/09/2013 08:00,280,26,9
26/09/2013 08:05,367.755102,26,9
26/09/2013 08:10,1663.583333,26,9
26/09/2013 08:15,2588.877551,26,9
26/09/2013 08:20,2515.84,26,9
26/09/2013 08:25,3209.857143,26,9
26/09/2013 08:30,1183.44898,26,9
26/09/2013 08:35,2230.74,26,9
26/09/2013 08:40,2064.44,26,9
26/09/2013 08:45,507.0833333,26,9
26/09/2013 08:50,449.12,26,9
26/09/2013 08:55,520.6530612,26,9
26/09/2013 09:00,2475.18,26,9
26/09/2013 09:05,2339.8,26,9
26/09/2013 09:10,2398.36,26,9
26/09/2013 09:15,2354.1,26,9
26/09/2013 09:20,445.48,26,9
26/09/2013 09:25,358.44,26,9
26/09/2013 09:30,280.3,26,9
26/09/2013 09:35,300.16,26,9
26/09/2013 09:40,329.98,26,9
26/09/2013 09:45,255.9183673,26,9
26/09/2013 09:50,299.8571429,26,9
26/09/2013 09:55,468.44,26,9
26/09/2013 10:00,597.46,26,9
26/09/2013 10:05,599.1794872,26,9
26/09/2013 10:10,772.54,26,9
26/09/2013 10:15,651.6078431,26,9
26/09/2013 10:20,613.6041667,26,9
26/09/2013 10:25,753.02,26,9
26/09/2013 10:30,722.06,26,9
26/09/2013 10:35,1054.938776,26,9
26/09/2013 10:40,1053.18,26,9
26/09/2013 10:45,983.94,26,9
26/09/2013 10:50,995.6530612,26,9
26/09/2013 10:55,1311.270833,26,9
26/09/2013 11:00,1325.78,26,9
26/09/2013 11:05,1171.326531,26,9
26/09/2013 11:10,1178.764706,26,9
26/09/2013 11:15,1372.82,26,9
26/09/2013 11:20,1058.02,26,9
26/09/2013 11:25,1427.244898,26,9
26/09/2013 11:30,1444,26,9
26/09/2013 11:35,1367.895833,26,9
26/09/2013 11:40,1196.34,26,9
26/09/2013 11:45,1169.58,26,9
26/09/2013 11:50,1242.26,26,9
26/09/2013 11:55,1395.26,26,9
26/09/2013 12:00,1387.56,26,9
26/09/2013 12:05,1460.86,26,9
26/09/2013 12:10,1760.8,26,9
26/09/2013 12:15,1724.204082,26,9
26/09/2013 12:20,1480.24,26,9
26/09/2013 12:25,1617.061224,26,9
26/09/2013 12:30,1411.22,26,9
26/09/2013 12:35,1431.408163,26,9
26/09/2013 12:40,1752.5,26,9
26/09/2013 12:45,2161.96,26,9
26/09/2013 12:50,1755.8,26,9
26/09/2013 12:55,2269.77551,26,9
26/09/2013 13:00,1803,26,9
26/09/2013 13:05,1633.979592,26,9
26/09/2013 13:10,556.76,26,9
26/09/2013 13:15,598.22,26,9
26/09/2013 13:20,881.88,26,9
26/09/2013 13:25,760.6,26,9
26/09/2013 13:30,945.52,26,9
26/09/2013 13:35,1245.2,26,9
26/09/2013 13:40,1044.18,26,9
26/09/2013 13:45,1001.82,26,9
26/09/2013 13:50,1073.42,26,9
26/09/2013 13:55,296.9,26,9
26/09/2013 14:00,304.02,26,9
26/09/2013 14:05,460.12,26,9
26/09/2013 14:10,863.72,26,9
26/09/2013 14:15,1061.76,26,9
26/09/2013 14:20,914.62,26,9
26/09/2013 14:25,295.3617021,26,9
26/09/2013 14:30,152,26,9
26/09/2013 14:35,194.74,26,9
26/09/2013 14:40,1000.22,26,9
26/09/2013 14:45,394.38,26,9
26/09/2013 14:50,507.16,26,9
26/09/2013 14:55,626.04,26,9
26/09/2013 15:00,992.7755102,26,9
26/09/2013 15:05,632.8979592,26,9
26/09/2013 15:10,581.68,26,9
26/09/2013 15:15,137.14,26,9
26/09/2013 15:20,165.74,26,9
26/09/2013 15:25,418.34,26,9
26/09/2013 15:30,364.22,26,9
26/09/2013 15:35,330.24,26,9
26/09/2013 15:40,186.2,26,9
26/09/2013 15:45,116.74,26,9
26/09/2013 15:50,145.3265306,26,9
26/09/2013 15:55,142.5,26,9
26/09/2013 16:00,124.8,26,9
26/09/2013 16:05,144.74,26,9
26/09/2013 16:10,188.3265306,26,9
26/09/2013 16:15,172.8979592,26,9
26/09/2013 16:20,153.3333333,26,9
26/09/2013 16:25,134.1875,26,9
26/09/2013 16:30,147.244898,26,9
26/09/2013 16:35,115.5306122,26,9
26/09/2013 16:40,119.84,26,9
